dataset,n,method,construction,capacity,seed,partition_size,merge_seed,q,value,oracle_value,value_error,target_index,tie_lower_index,tie_upper_index,rank_error,retained,retained_fraction
normal,20000,kll,sequential,32,101,,,0.75,0.5885200640750341,0.66396027043969696,0.075440206364662865,14999,14487,14487,0.025601280064003199,35,0.00175
normal,20000,kll,sequential,32,101,,,0.90000000000000002,1.154845913120309,1.2605493334517524,0.10570342033144331,17999,17590,17590,0.020451022551127556,35,0.00175
normal,20000,kll,sequential,32,101,,,0.98999999999999999,1.8467280404856958,2.3085331684105435,0.46180512792484762,19799,19351,19351,0.0224011200560028,35,0.00175
normal,20000,kll,balanced_merge,32,101,257,20260913,0.01,-2.5283764945459342,-2.3706471596639775,0.15772933488195662,199,122,122,0.0038501925096254812,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,101,257,20260913,0.10000000000000001,-1.2922428250824494,-1.2913587514538585,0.00088407362859088678,1999,1996,1996,0.00015000750037501875,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,101,257,20260913,0.25,-0.74222921705975753,-0.68207070925987068,0.060158507799886851,4999,4621,4621,0.018900945047252364,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,101,257,20260913,0.5,-0.051789547343255984,-0.0057934692610270306,0.045996078082228956,9999,9620,9620,0.018950947547377368,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,101,257,20260913,0.75,0.60764892940862791,0.66396027043969696,0.056311341031069051,14999,14633,14633,0.018300915045752288,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,101,257,20260913,0.90000000000000002,1.2679690687394074,1.2605493334517524,0.0074197352876550493,17999,18022,18022,0.0011500575028751438,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,101,257,20260913,0.98999999999999999,2.1760129804534749,2.3085331684105435,0.13252018795706855,19799,19707,19707,0.0046002300115005751,68,0.0033999999999999998
normal,20000,kll,sequential,64,11,,,0.01,-2.2845569779376564,-2.3706471596639775,0.086090181726321102,199,252,252,0.0026501325066253315,125,0.0062500000000000003
